Data_Venda;Moeda;Quantidade;Data_Aquisição;Custo_Aquisição;Valor_Venda;Status
2021-04-18;ADA;3026,1;2019-02-19;0,0;4583,11;OK
2021-04-18;ADA;161,8;2019-02-19;0,0;245,05;OK
2021-04-18;ADA;40,0;2019-02-19;0,0;60,58;OK
2021-04-18;ADA;46,0;2019-02-19;0,0;69,67;OK
2021-04-18;ADA;151,4;2019-02-19;0,0;229,3;OK
2021-04-18;ADA;807,2;2019-02-19;0,0;1222,53;OK
2021-04-18;ADA;456,2;2019-02-19;0,0;690,93;OK
2021-04-18;ADA;156,0;2019-02-19;0,0;236,27;OK
2021-04-18;ADA;250,0;2019-02-19;0,0;378,63;OK
2021-04-18;ADA;99,7;2019-02-19;0,0;151,0;OK
2021-04-18;ADA;237,3;2019-02-19;0,0;359,4;OK
2021-04-18;ADA;52,3;2019-02-19;0,0;79,21;OK
2021-04-18;ADA;2868,6;2019-02-19;0,0;4344,57;OK
2021-04-18;ADA;45,6;2019-02-19;0,0;69,06;OK
2021-04-18;ADA;205,9;2019-02-19;0,0;311,84;OK
2021-04-18;ADA;1451,8;2019-02-19;0,0;2198,79;OK
2021-04-18;ADA;94,9;2019-02-19;0,0;15229,93;OK
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;OK
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;OK
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;OK
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;OK
2021-04-19;VET;19431,0;2020-07-16;0,0;3884,26;OK
2021-04-19;VET;14712,0;2020-07-16;0,0;2940,93;OK
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;OK
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;OK
2021-04-19;VET;1002,0;2019-07-10;0,0;200,3;OK
2021-04-19;VET;13207,4;2019-07-10;0,0;2640,16;OK
2021-04-19;ADA;19,3;2019-02-19;0,0;58,61;OK
2021-04-19;ADA;19,1;2019-02-19;0,0;58,61;OK
2021-04-19;ADA;19,1;2019-02-19;0,0;58,61;OK
2021-04-19;ADA;895,8;2019-02-19;0,0;919,75;OK
2021-04-19;ADA;52,8;2019-02-19;0,0;54,21;OK
2021-04-19;ADA;322,7;2019-02-19;0,0;331,33;OK
2021-04-19;ADA;150,1;2019-02-19;0,0;154,11;OK
2021-04-19;ADA;150,0;2019-02-19;0,0;154,01;OK
2021-04-19;ADA;712,0;2019-02-19;0,0;731,04;OK
2021-04-19;ADA;118,9;2019-02-19;0,0;122,08;OK
2021-04-19;ADA;45,5;2019-02-19;0,0;46,72;OK
2021-04-19;ADA;225,4;2019-02-19;0,0;231,43;OK
2021-04-19;ADA;19,3;2019-02-19;0,0;2744,68;OK
2021-05-06;ADA;51,6;2019-02-19;0,0;71,35;OK
2021-05-06;ADA;1514,4;2019-02-19;0,0;2093,96;OK
2021-05-07;AVAX;21,0;2021-01-24;0,0;740,14;OK
2021-05-07;AVAX;0,8;2021-01-24;0,0;28,2;OK
2021-05-07;AVAX;21,0;2019-03-18;0,0;740,14;OK
2021-05-07;AVAX;0,8;2019-03-18;0,0;28,2;OK
2021-05-07;AVAX;3,474;2019-03-18;0,0;122,44;OK
2021-05-09;ADA;1058,36;2019-02-19;0,0;11284,46;OK
2021-05-09;ADA;709,64;2019-02-19;0,0;1412,08;OK
2021-05-09;ADA;161,8;2019-02-19;0,0;321,96;OK
2021-05-09;ADA;40,0;2019-02-19;0,0;79,59;OK
2021-05-09;ADA;46,0;2019-02-19;0,0;91,53;OK
2021-05-09;ADA;151,4;2019-02-19;0,0;301,26;OK
2021-05-09;ADA;807,2;2019-02-19;0,0;1606,21;OK
2021-05-09;ADA;456,2;2019-02-19;0,0;907,77;OK
2021-05-09;ADA;156,0;2019-02-19;0,0;310,42;OK
2021-05-09;ADA;250,0;2019-02-19;0,0;497,46;OK
2021-05-09;ADA;99,7;2019-02-19;0,0;198,39;OK
2021-05-09;ADA;237,3;2019-02-19;0,0;472,19;OK
2021-05-09;ADA;52,3;2019-02-19;0,0;104,07;OK
2021-05-09;ADA;2503,46;2019-02-19;0,0;4981,52;OK
2021-05-09;ADA;365,14;2019-02-19;0,0;3244,42;OK
2021-05-09;ADA;45,6;2019-02-19;0,0;405,17;OK
2021-05-09;ADA;205,9;2019-02-19;0,0;1829,5;OK
2021-05-09;ADA;653,36;2019-02-19;0,0;5805,37;OK
2021-05-09;ADA;0,64;2019-02-19;0,0;0,9;OK
2021-05-15;ADA;998,93;2019-02-19;0,0;2018,4;OK
2021-05-15;ADA;6,01;2019-02-19;0,0;2018,4;OK
2021-05-15;ADA;131,0;2019-02-19;0,0;2018,4;OK
2021-05-15;ADA;63,71;2019-02-19;0,0;2018,4;OK
2021-05-15;ADA;0,35;2019-02-19;0,0;2018,4;OK
2021-05-20;VET;400,0;2019-07-10;0,0;266,93;OK
2021-05-20;VET;400,0;2019-07-10;0,0;266,93;OK
2021-05-20;VET;400,0;2019-07-10;0,0;266,93;OK
2021-05-20;VET;400,0;2019-07-10;0,0;266,93;OK
2021-05-20;VET;3275,26;2019-07-10;0,0;2185,62;OK
2021-05-20;VET;5640,29;2019-07-10;0,0;3253,32;OK
2021-05-20;VET;4000,0;2019-07-10;0,0;3253,32;OK
2021-05-20;VET;849,44;2019-07-10;0,0;3253,32;OK
2021-05-20;VET;5666,01;2019-07-10;0,0;1392,35;OK
2021-05-20;VET;7573,0;2019-07-10;0,0;1860,97;OK
2021-05-20;AVAX;17,526;2019-03-18;0,0;440,39;OK
2021-05-20;AVAX;0,8;2019-03-18;0,0;20,1;OK
2021-05-20;AVAX;59,7;2021-01-25;0,0;1500,12;OK
2021-05-20;AVAX;59,7;2019-03-18;0,0;1500,12;OK
2021-05-20;AVAX;27,0;2021-01-25;0,0;678,45;OK
2021-05-20;AVAX;8,6;2021-01-25;0,0;216,1;OK
2021-05-20;AVAX;29,3;2021-01-25;0,0;736,24;OK
2021-05-20;AVAX;12,332;2021-01-25;0,0;309,88;OK
2021-05-20;AVAX;22,895;2021-01-25;0,0;5401,4;OK
2021-05-20;XRP;72,9;2019-05-29;0,0;89,5;OK
2021-05-20;XRP;285,5;2019-01-28;0,0;350,52;OK
