Data_Venda;Moeda;Quantidade;Data_Aquisição;Custo_Aquisição;Valor_Venda;Resultado
2021-05-21;THETA;268,4;2019-07-25;0,0;4222,0;4222,0
2021-05-23;LINK;21,0;2019-08-09;0,0;352,48;352,48
2021-05-23;LINK;29,0;2019-08-09;0,0;486,76;486,76
2021-05-23;LINK;50,0;2019-08-09;0,0;841,05;841,05
2021-05-23;LINK;50,0;2019-08-09;0,0;833,8;833,8
2021-05-23;LINK;50,0;2019-08-09;0,0;837,25;837,25
2021-05-23;LINK;50,0;2019-08-09;0,0;837,8;837,8
2021-05-23;ETH;2,5;2019-02-19;0,0;4431,8;4431,8
2021-05-23;ETH;0,9625602;2019-02-19;0,0;1710,3;1710,3
2021-05-23;ETH;0,019277;2019-02-19;0,0;34,25;34,25
2021-05-23;ETH;0,27064796;2019-02-19;0,0;480,89;480,89
2021-05-23;ETH;0,17914776;2019-02-19;0,0;318,31;318,31
2021-05-23;ETH;1,06836708;2019-05-21;0,0;1898,3;1898,3
2021-05-23;ADA;27,21;2019-02-19;0,0;53,83;53,83
2021-05-23;ADA;23,58;2019-02-19;0,0;53,83;53,83
2021-05-23;ADA;271,91;2019-02-19;0,0;1557,64;1557,64
2021-05-23;ADA;150,1;2019-02-19;0,0;859,85;859,85
2021-05-23;ADA;150,0;2019-02-19;0,0;859,28;859,28
2021-05-23;ADA;712,0;2019-02-19;0,0;4078,69;4078,69
2021-05-23;ADA;118,9;2019-02-19;0,0;681,12;681,12
2021-05-23;ADA;45,5;2019-02-19;0,0;260,65;260,65
2021-05-23;ADA;1340,02;2019-02-19;0,0;7676,31;7676,31
2021-05-23;ADA;1159,98;2019-02-19;0,0;2039,79;2039,79
2021-05-23;ADA;51,6;2019-02-19;0,0;90,74;90,74
2021-05-23;ADA;3282,4;2019-02-19;0,0;5771,99;5771,99
2021-05-23;ADA;161,8;2019-02-19;0,0;284,52;284,52
2021-05-23;ADA;40,0;2019-02-19;0,0;70,34;70,34
2021-05-23;ADA;46,0;2019-02-19;0,0;80,89;80,89
2021-05-23;ADA;151,4;2019-02-19;0,0;266,23;266,23
2021-05-23;ADA;807,2;2019-02-19;0,0;1419,43;1419,43
2021-05-23;ADA;456,2;2019-02-19;0,0;802,21;802,21
2021-05-23;ADA;156,0;2019-02-19;0,0;274,32;274,32
2021-05-23;ADA;250,0;2019-02-19;0,0;439,62;439,62
2021-05-23;ADA;99,7;2019-02-19;0,0;175,32;175,32
2021-05-23;ADA;237,3;2019-02-19;0,0;417,28;417,28
2021-05-23;ADA;52,3;2019-02-19;0,0;91,97;91,97
2021-05-23;ADA;2131,9;2019-02-19;0,0;3748,88;3748,88
2021-05-23;ADA;100,0;2019-02-19;0,0;15973,53;15973,53
2021-05-23;ADA;636,7;2019-02-19;0,0;3280,76;3280,76
2021-05-23;ADA;45,6;2019-02-19;0,0;234,97;234,97
2021-05-23;ADA;205,9;2019-02-19;0,0;1060,95;1060,95
2021-05-23;ADA;2211,8;2019-02-19;0,0;11396,85;11396,85
2021-05-24;ADA;45,5;2019-02-19;0,0;56,24;56,24
2021-05-24;ADA;197,21;2019-02-19;0,0;243,75;243,75
2021-05-24;ADA;134,13;2019-02-19;0,0;165,78;165,78
2021-05-24;ADA;80,38;2019-02-19;0,0;99,35;99,35
2021-05-24;ADA;80,99;2019-02-19;0,0;12347,0;12347,0
2021-05-24;ADA;2007,29;2019-02-19;0,0;2498,64;2498,64
2021-05-24;ADA;51,6;2019-02-19;0,0;64,23;64,23
2021-05-24;ADA;3282,4;2019-02-19;0,0;4085,87;4085,87
2021-05-24;ADA;161,8;2019-02-19;0,0;201,41;201,41
2021-05-24;ADA;40,0;2019-02-19;0,0;49,79;49,79
2021-05-24;ADA;46,0;2019-02-19;0,0;57,26;57,26
2021-05-24;ADA;151,4;2019-02-19;0,0;188,46;188,46
